title,denomination,year,action,reason
우희호마음수련원,통합,2007/92,참여금지,단순한 정신 수련이 아닌초자연적 신비주의적 성향
"윗트니스리지방교회, 한국복음서원",고신,1991/41,이단,
"윗트니스리지방교회, 한국복음서원",통합,1991/76,이단,"신론, 기독론, 인간론, 교회론"
"윗트니스리지방교회, 한국복음서원",통합,2008/93,총회결의유지/이단,
"윗트니스리지방교회, 한국복음서원",합신합동,,,
유복종(現 유자현)녹산교회,합신,2007/92,교류 및 참석금지,"이중아담론, 시한부종말론, 자의적 성경해석, 녹산교회만 구원이 있다는 주장 등"
유석근,합동,2019/104,엄중 경고,
윤석전연세중앙교회,합신,2000/85,집회참석금지,"성령론, 예지예정론, 기독론,지나친 권위주의적인 목회관에 있어성경의 주된 내용과 다른 주장"
윤종하,합신,2010/95,읽거나 추종금지,"기독교의 원죄 부정, 그리스도의 대리속죄 부정, 완전주의의 오류 등"
이광복요한계시록 해석,고신,2014/64,초청금지,종말론과 불건전한 세대주의적 해석사도신경에 대한 입장
이광복요한계시록 해석,통합,2015/100,평가는해교단에서 하도록하는 것이 바람직함,"요한계시록 종말론적 문제,성경해석방법 문제"
이광복요한계시록 해석,통합,2021/106,본교단 목회자들과교인참여 금지,종말론과 요한계시록과도한 자의적 해석
"이뢰자여호와새일파, 새일교회",고신,1998/48,,"말일복음(말세의비밀)주장,그릇된 성경해석과 종말론"
"이뢰자여호와새일파, 새일교회",기성합동,,,
이만희신천지예수교증거장막성전무료성경신학원,통합,1995/80,이단,"계시론, 신론, 기독론, 구원론, 종말론"
이만희신천지예수교증거장막성전무료성경신학원,합동,1995/80,신학적 비판 가치 없음,
이만희신천지예수교증거장막성전무료성경신학원,합동,2007/92,이단,"교주신격화, 잘목된 성경 해석 등"
이만희신천지예수교증거장막성전무료성경신학원,기성,1999/93,이단,"계시론, 신론, 기독론, 구원론, 종말론"
이만희신천지예수교증거장막성전무료성경신학원,합신,2003/88,이단,
이만희신천지예수교증거장막성전무료성경신학원,고신,2005/55,이단,"대표자 이만희 씨가 직통계시자, 보혜사라주장"
이만희신천지예수교증거장막성전무료성경신학원,대신,2008/43,이단,
이만희신천지예수교증거장막성전무료성경신학원,기감,2014/31,이단,
이만희신천지예수교증거장막성전무료성경신학원,기하성여의도,,이단,
"이명범레마복음선교회(TD), 예일교회",고신,1992/42,불건전 단체,"삼위일체, 창조론, 인간관,성경관, 극단적신비주의"
"이명범레마복음선교회(TD), 예일교회",합신기성,,,
이선아밤빌리아추수꾼,기성,1987/81,이단,
이선아밤빌리아추수꾼,통합,1990/75,이단,영성치료로 인간이 온전하게 된다고 주장
이선아밤빌리아추수꾼,고신,,,
이송오말씀보존학회,합동,1998/83,이단,
이송오말씀보존학회,통합,2002/87,반기독교적,"번역성경들을 이단이라고 주장,비성경적 주장"
"이승헌(뇌호흡, 기체조, 단요가, 명상)홍익문화운동협회",합신,2007/92,참여금지,
"이승헌(뇌호흡, 기체조, 단요가, 명상)홍익문화운동협회",합신,2008/93,이단,
이유빈예수전도협회,합동,1999/84,참여금지,
이유빈예수전도협회,기성,1999/93,경계집단,
이유빈예수전도협회,합신,2000/85,참여금지,죄공개자백 등 성경해석과 신학에 중대한오류
이유빈예수전도협회,통합,2001/86,이단,영성치료로 인간이 온전하게 된다고 주장
이유빈예수전도협회,고신,2004/54,참여금지,"공개죄 자백은 덕이 되지 않으며, 성경이 의무화하지 않는 것을 극단적으로 강조함으로 참여금지"
이인강(現 이엘리야)아멘충성교회,통합,2012/97,사이비성집회참여금지,"직통계시 성경해석의 문제,신비적사역, 부도덕한 목회 형태"
이인강(現 이엘리야)아멘충성교회,통합,2013/98,97회기 결의유지,
이인강(現 이엘리야)아멘충성교회,통합,합신,2015/100,이단
이인규무엇이든지 물어보세요,합동,2017/102,교류금지,"오늘날 특별계시 존재,십자가 복음과 부활 복음 이원화"
이인규무엇이든지 물어보세요,고신,2018/68,참여자제,김성로 목사의 부활을강조하는 사상에 동조
이인규무엇이든지 물어보세요,기감,2018/33,이단성 없음,신학적 용어의 표현상 오해
이인규무엇이든지 물어보세요,백석대신,2018/103,2년간 예의주시,"특별계시에 대한 위험한 사상,하늘 성소가 실제로 존재한다고 주장"
이인규무엇이든지 물어보세요,고신,2020/70,이단사상,"구독, 광고, 후원 금지"
이인규무엇이든지 물어보세요,통합,2021/106,이단성,왜곡된 삼위일체론 및 기독론
이장림다미선교회,합동,1991/76,이단,"구원론, 계시론, 교회론, 종말론"
이장림다미선교회,고신,1991/41,이단,"구원론, 계시론, 교회론, 종말론"
이장림다미선교회,통합,1991/76,이단,"구원론, 계시론, 교회론, 종말론"
이장림다미선교회,합신,,,"구원론, 계시론, 교회론, 종말론"
이재록만민중앙교회,예성,1990/69,이단,
이재록만민중앙교회,기하성여의도,1999,이단,
이재록만민중앙교회,통합,1999/84,이단,"신론, 구원론, 인간론, 성령론,교회론, 종말론"
이재록만민중앙교회,합신,2000/85,참석금지,
이재록만민중앙교회,고신,2009/59,이단,
이재록만민중앙교회,기감,2014/31,예의주시,
이초석예수중심교회(구 한국예루살렘교회),고신,2009/59,이단,
이초석예수중심교회(구 한국예루살렘교회),통합,1991/76,이단/김기동 계열,"성서론, 신론, 창조론, 인간론,기독론, 구원론, 귀신론"
